influencer_id,platform,date,url,caption,reach,likes,comments
505,Twitter,2025-07-14,https://hurst-blevins.com/,Much method car.,178916,11090,3466
144,Twitter,2025-04-26,http://pollard-garcia.info/,Action condition small model use ever million enter.,190385,2266,188
842,Twitter,2025-01-27,http://rogers-walsh.com/,Suffer suggest fill better much word.,39714,19455,964
735,Facebook,2025-06-01,https://bradshaw.org/,Tend long design still.,83278,12413,1370
761,YouTube,2025-04-28,https://clements.com/,Across north pressure.,152041,2998,1258
739,Instagram,2025-02-18,https://www.strickland.com/,Not ahead go rate collection.,21343,316,3657
420,YouTube,2025-05-20,https://www.chang.biz/,Worker environmental prepare administration form network effect.,182813,13517,3983
110,Facebook,2025-05-21,https://www.burke.org/,Pick news building agency.,201734,9056,3872
261,YouTube,2025-02-03,https://brown-barnes.biz/,Cup home could loss interview shake fly.,285113,13682,170
626,Instagram,2025-04-19,http://www.lopez.com/,Development word pass game tough even.,92015,5830,3692
201,YouTube,2025-05-13,http://www.mclaughlin.com/,Republican poor study finally.,209244,18312,4804
193,Facebook,2025-07-14,https://www.butler.info/,Purpose because chair machine.,103240,15242,1997
124,Twitter,2025-03-08,https://harris-duncan.com/,Member travel hear good education best.,66260,18709,1659
953,Instagram,2025-04-29,https://www.bray.com/,Plan word forget.,166628,4586,2425
873,YouTube,2025-07-13,http://www.kelley.com/,Job together measure some alone.,169888,6629,4674
403,Facebook,2025-04-01,http://www.stewart.com/,Act development money herself ready increase sense.,21582,6195,3219
221,Instagram,2025-04-03,https://hamilton.com/,Defense bar example adult.,147342,12609,427
469,Instagram,2025-05-08,https://woods.biz/,Trade maybe stock.,221986,9585,2744
845,YouTube,2025-06-28,http://weaver.com/,Yes gas any condition director read.,50507,18249,74
801,Facebook,2025-03-21,http://www.wolf.org/,Guy suffer plan road investment.,265599,16175,851
196,Facebook,2025-02-23,https://www.rivas.com/,Property relate operation.,129592,1483,3547
734,Instagram,2025-04-01,http://diaz.com/,Represent reality strategy word ten whether tree.,199816,9995,3415
347,Instagram,2025-04-28,http://rivera-pace.info/,Instead teacher close skin international big.,241929,19276,4070
111,Twitter,2025-03-20,http://shannon-buchanan.info/,Bad hit bad still.,163664,10058,4750
776,YouTube,2025-02-28,https://www.gilbert-hawkins.com/,Senior bill per between song grow expect.,118319,16290,4891
425,Twitter,2025-05-08,https://www.campbell-kim.com/,Old door eye give black.,280303,18426,4550
48,Instagram,2025-03-25,http://hooper-payne.net/,Glass play establish grow.,163501,15286,2392
949,Instagram,2025-06-28,https://macias.com/,Form maybe remain.,96757,7457,313
649,Facebook,2025-04-07,http://www.garrett.biz/,Watch into team some another agreement.,63841,979,4003
858,Facebook,2025-04-29,http://www.moore-vargas.com/,Deep who year event he bring hundred.,201196,180,3284
689,Twitter,2025-05-28,http://brown.com/,But film between process either weight program.,24605,5147,3992
603,Instagram,2025-04-22,http://www.diaz-vance.com/,Set through blood one animal.,110957,8707,4215
127,YouTube,2025-04-07,https://www.bennett-williams.com/,Anyone probably lot onto including edge floor morning.,53551,9935,4851
791,Facebook,2025-04-04,http://www.henson.com/,Force before sell address kitchen seem.,237665,15584,4006
914,Facebook,2025-07-10,http://downs.com/,Charge choice note.,270286,4169,1909
462,Instagram,2025-03-21,http://smith-ochoa.com/,Respond budget top produce.,18073,9526,507
469,YouTube,2025-04-02,http://grant.com/,Civil lay rather research who election air.,258054,13769,4337
675,Twitter,2025-04-28,https://www.rodriguez-cummings.net/,Each month fast produce.,267172,5977,165
604,YouTube,2025-03-13,https://cervantes-diaz.info/,Cultural strategy we part whole turn issue.,85781,16218,3467
980,Instagram,2025-04-17,https://watson-frey.com/,Western every peace.,104725,8119,4731
517,YouTube,2025-04-30,http://harper-garcia.com/,Design despite red exactly partner answer expert.,183318,1032,2597
138,YouTube,2025-05-10,http://www.rollins.biz/,Go career system machine would.,258478,4011,4542
987,Instagram,2025-01-24,http://www.baker.com/,Television stage bank message understand win.,279531,9183,530
511,Twitter,2025-04-14,https://www.west.com/,Sport under most manager former end support tend.,167717,16256,2204
5,YouTube,2025-05-29,https://www.kramer.info/,Amount under start state evidence technology wear.,176619,2286,3427
544,Instagram,2025-06-15,https://www.perez.net/,Chair many west worry grow.,80127,19724,3887
754,YouTube,2025-03-11,https://may.com/,Open foot outside upon write on citizen kitchen.,56512,11954,967
50,Instagram,2025-01-27,http://www.hall-hudson.com/,Kitchen key another design hundred help up home.,275609,19140,4063
567,Twitter,2025-03-22,https://brady.com/,Adult at PM score.,74582,15844,2850
958,Facebook,2025-03-23,https://www.lawrence-manning.com/,Somebody couple should blood economic notice.,112577,18632,3682
444,Twitter,2025-06-22,https://www.weber-moody.com/,Upon name player task all myself.,24164,14389,3583
859,Facebook,2025-05-16,http://crane.com/,Another recently no smile skin.,245841,8551,180
600,Facebook,2025-05-29,https://hill.com/,After office question it address.,208207,15698,1331
495,YouTube,2025-07-03,https://www.vincent-perez.net/,Audience miss although gun.,278859,4018,2369
947,Instagram,2025-05-10,https://marshall.com/,Chair series good over land.,65731,12329,1584
521,Instagram,2025-03-09,https://www.king.com/,Act Democrat response run customer country despite.,7154,16894,3854
800,Instagram,2025-04-06,http://www.dougherty-matthews.info/,Always practice cell political fill.,168043,18950,2826
944,Twitter,2025-04-16,https://www.decker.com/,Price including through.,28084,674,3599
933,Twitter,2025-04-02,http://www.andrade.com/,One fund thousand race.,50652,8604,1911
182,Twitter,2025-01-19,http://smith.com/,Present cup mother cover race or.,179739,5436,4168
709,Twitter,2025-03-24,https://bradley.info/,In gas join director begin.,249777,19159,1809
593,YouTube,2025-06-18,https://www.hall.org/,General everybody success physical talk under none.,29190,2017,4824
178,YouTube,2025-05-29,https://harris.com/,Local million fish risk.,59055,4888,2788
749,Facebook,2025-05-22,https://burnett-kirk.com/,Hope end hundred lot her again role.,277932,10575,4942
835,Facebook,2025-05-26,http://pace.com/,Return life attention her various.,168829,15207,3847
132,Instagram,2025-03-19,http://yates-blanchard.com/,Admit some life science machine cause member.,16786,4539,1084
107,Twitter,2025-04-05,http://www.smith.com/,Movie everyone smile not.,168652,11810,2413
397,YouTube,2025-05-04,https://www.serrano.com/,All turn participant interest join.,115019,5451,3207
674,Facebook,2025-02-18,https://www.collins.com/,Affect president loss about today.,173233,1833,3424
615,Instagram,2025-05-11,http://www.townsend-rice.biz/,Billion should fund share.,110148,9034,2961
621,Instagram,2025-07-05,https://warren.com/,Mouth yard series environment.,105949,11934,3879
904,Twitter,2025-02-28,http://www.berger.com/,Table soldier he oil near.,155243,13846,1337
330,Twitter,2025-02-16,https://campbell.com/,Cost lay put out.,150044,11764,1707
517,Instagram,2025-07-07,http://stephens.com/,Chance structure never.,284065,1696,2323
903,Twitter,2025-07-13,https://www.powers-butler.org/,Them set out game data appear education.,172326,9598,716
394,Twitter,2025-05-06,https://www.bauer.biz/,Best receive marriage deep response.,236271,9657,3965
429,Facebook,2025-02-21,http://www.williams-sanchez.biz/,Scene rest middle focus follow white size.,66682,17454,1067
624,Facebook,2025-04-28,http://patterson.com/,Sign within find along across when serious.,147949,2617,1429
